,iso_code,continent,location,date_,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,day_num,school_closures,date
23629,ESP,Europe,Spain,02/24/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,24,0,2020-02-24
19396,DEU,Europe,Germany,02/24/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,30,0,2020-02-24
36769,ITA,Europe,Italy,02/24/2020,1.224,0.066,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,25,3,2020-02-24
23630,ESP,Europe,Spain,02/25/2020,0.086,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,25,0,2020-02-25
36770,ITA,Europe,Italy,02/25/2020,1.538,0.05,0.071,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,26,3,2020-02-25
19397,DEU,Europe,Germany,02/25/2020,0.012,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,31,0,2020-02-25
26110,FRA,Europe,France,02/25/2020,0.03,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,33,0,2020-02-25
69975,SWE,Europe,Sweden,02/25/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,25,0,2020-02-25
26111,FRA,Europe,France,02/26/2020,0.059,0.015,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,34,0,2020-02-26
19398,DEU,Europe,Germany,02/26/2020,0.119,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,32,2,2020-02-26
23631,ESP,Europe,Spain,02/26/2020,0.15,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,26,0,2020-02-26
36771,ITA,Europe,Italy,02/26/2020,2.167,0.033,0.016,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,27,3,2020-02-26
69976,SWE,Europe,Sweden,02/26/2020,0.099,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,26,0,2020-02-26
19399,DEU,Europe,Germany,02/27/2020,0.227,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,33,2,2020-02-27
69977,SWE,Europe,Sweden,02/27/2020,0.099,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,27,0,2020-02-27
